"Codigo","Descricao","dataInicioVigencia","dataFimVigencia","tipoAtoLegal","orgaoAtoLegal","numeroAtoLegal","anoAtoLegal"
"0301.91","-- Trutas (<i>Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache</i> e <i>Oncorhynchus chrysogaster</i>)",,,,,,
"0301.91.10","Para reproduÃ§Ã£o",,,,,,
"0301.91.90","Outras",,,,,,
"0301.92","-- Enguias (<i>Anguilla</i> spp.)",,,,,,
"0301.92.10","Para reproduÃ§Ã£o",,,,,,
"0301.92.90","Outras",,,,,,
"0301.93","-- Carpas (<i>Cyprinus</i> spp.<i>, Carassius</i> spp.<i>, Ctenopharyngodon idellus, Hypophthalmichthys</i> spp.<i>, Cirrhinus</i> spp.<i>, Mylopharyngodon piceus, Catla catla, Labeo</i> spp.<i>, Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama</i> spp.)",,,,,,
"0301.93.10","Para reproduÃ§Ã£o",,,,,,
"0301.93.90","Outras",,,,,,
"0301.94","-- Atuns-azuis (atuns) (<i>Thunnus thynnus, Thunnus orientalis</i>)",,,,,,
"0301.94.10","Para reproduÃ§Ã£o",,,,,,
"0301.94.90","Outras",,,,,,
"0301.95","-- Atum-azul do sul (atum) (<i>Thunnus maccoyii</i>)",,,,,,
"0301.95.10","Para reproduÃ§Ã£o",,,,,,
"0301.95.90","Outros",,,,,,
"0301.99","-- Outros",,,,,,
"0301.99.1","Para reproduÃ§Ã£o",,,,,,
"0301.99.11","TilÃ¡pias (<i>Tilapia</i> spp.<i>, Oreochromis</i> spp.<i>, Sarotherodon</i> spp.<i>, Danakilia</i> spp.; seus hÃ­bridos)",,,,,,
"0301.99.12","EsturjÃµes (<i>Acipenser baerii, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus</i>)",,,,,,
"0301.99.19","Outros",,,,,,
"0301.99.9","Outros",,,,,,
"0301.99.91","TilÃ¡pias (<i>Tilapia</i> spp.<i>, Oreochromis</i> spp.<i>, Sarotherodon</i> spp.<i>, Danakilia</i> spp.; seus hÃ­bridos)",,,,,,
"0301.99.92","EsturjÃµes (<i>Acipenser baerii, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus</i>)",,,,,,
"0301.99.99","Outros",,,,,,
"03.02","Peixes frescos ou refrigerados, exceto os filÃ©s (filetes) de peixes e outra carne de peixes da posiÃ§Ã£o 03.04.",,,,,,
"0302.1","- SalmonÃ­deos, exceto subprodutos comestÃ­veis de peixes das subposiÃ§Ãµes 0302.91 a 0302.99:",,,,,,
"0302.11.00","-- Trutas (<i>Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache</i> e <i>Oncorhynchus chrysogaster</i>)",,,,,,
"0302.13.00","-- SalmÃµes-do-pacÃ­fico (<i>Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou</i> e <i>Oncorhynchus rhodurus</i>)",,,,,,
"0302.14.00","-- SalmÃ£o-do-atlÃ¢ntico (<i>Salmo salar</i>) e salmÃ£o-do-danÃºbio (<i>Hucho hucho</i>)",,,,,,
"0302.19.00","-- Outros",,,,,,
"0302.2","- Peixes chatos (<i>Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae</i> e <i>Citharidae</i>), exceto subprodutos comestÃ­veis de peixes das subposiÃ§Ãµes 0302.91 a 0302.99:",,,,,,
"0302.21.00","-- Linguados-gigantes (Alabotes*) (<i>Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis</i>)",,,,,,
"0302.22.00","-- Solha (<i>Pleuronectes platessa</i>)",,,,,,
"0302.23.00","-- Linguados (<i>Solea</i> spp.)",,,,,,
"0302.24.00","-- Pregado (<i>Psetta maxima</i>)",,,,,,
"0302.29.00","-- Outros",,,,,,
"0302.3","- Atuns (do gÃªnero <i>Thunnus</i>), bonito-listrado (gaiado*) (<i>Katsuwonus </i><i>pelamis</i>), exceto subprodutos comestÃ­veis de peixes das subposiÃ§Ãµes 0302.91 a 0302.99:",,,,,,
"0302.31.00","-- Albacora-branca (atum) (<i>Thunnus alalunga</i>)",,,,,,
"0302.32.00","-- Albacora-laje (atum) (<i>Thunnus albacares</i>)",,,,,,
"0302.33.00","-- Bonito-listrado (Gaiado*) (<i>Katsuwonus pelamis</i>)",,,,,,
"0302.34.00","-- Albacora-bandolim (atum) (<i>Thunnus obesus</i>)",,,,,,
"0302.35.00","-- Atuns-azuis (atuns) (<i>Thunnus thynnus, Thunnus orientalis</i>)",,,,,,
"0302.36.00","-- Atum-azul do sul (atum) (<i>Thunnus maccoyii</i>)",,,,,,
"0302.39.00","-- Outros",,,,,,
"0302.4","- Arenques (<i>Clupea harengus, Clupea pallasii</i>), anchovas (biqueirÃµes*) (<i>Engraulis</i> spp.), sardinhas (<i>Sardina pilchardus, Sardinops</i> spp.<i>, Sardinella</i> spp.) (sardinha (<i>Sardina pilchardus</i>) e sardinelas (<i>Sardinops</i> spp.,<i> </i><i>Sardinella</i> spp.)*), anchoveta (espadilha*) (<i>Sprattus sprattus</i>), cavalinhas (sardas e cavalas*) (<i>Scomber scombrus, Scomber australasicus, Scomber japonicus</i>), cavalas-do-Ã­ndico (<i>Rastrelliger</i> spp.), serras (<i>Scomberomorus</i> spp.), carapaus (<i>Trachurus</i> spp.), xarÃ©us (<i>Caranx</i> spp.), bijupirÃ¡ (cobia*) (<i>Rachycentron canadum</i>), pampos-prateado (<i>Pampus</i> spp.), agulhÃ£o-do-japÃ£o (<i>Cololabis saira</i>), charros (<i>Decapterus</i> spp.), capelim (<i>Mallotus villosus</i>), espadarte (<i>Xiphias gladius</i>), merma-oriental (<i>Euthynnus affinis</i>), bonitos (<i>Sarda</i> spp.), espadins, marlins, veleiros (<i>Istiophoridae</i>), exceto subprodutos comestÃ­veis de peixes das subposiÃ§Ãµes 0302.91 a 0302.99:",,,,,,
"0302.41.00","-- Arenques (<i>Clupea harengus, Clupea pallasii</i>)",,,,,,
"0302.42","-- Anchovas (BiqueirÃµes*) (<i>Engraulis</i> spp.)",,,,,,
"0302.42.10","Anchoita (<i>Engraulis anchoita</i>)",,,,,,
"0302.42.90","Outros",,,,,,
"0302.43.00","-- Sardinhas (<i>Sardina pilchardus, Sardinops</i> spp., <i>Sardinella</i> spp.) (Sardinha (<i>Sardina pilchardus</i>) e sardinelas (<i>Sardinops</i> spp., <i>Sardinella</i> spp.)*), anchoveta (espadilha*) (<i>Sprattus sprattus</i>)",,,,,,
"0302.44.00","-- Cavalinhas (Sardas e cavalas*) (<i>Scomber scombrus, Scomber australasicus, Scomber japonicus</i>)",,,,,,
"0302.45.00","-- Carapaus (<i>Trachurus</i> spp.)",,,,,,
"0302.46.00","-- BijupirÃ¡ (Cobia*) (<i>Rachycentron canadum</i>)",,,,,,
"0302.47.00","-- Espadarte (<i>Xiphias gladius</i>)",,,,,,
"0302.49","-- Outros",,,,,,
"0302.49.10","Espadins, marlins, veleiros (<i>Istiophoridae</i>)",,,,,,
"0302.49.90","Outros",,,,,,
"0302.5","- Peixes das famÃ­lias <i>Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae</i> e <i>Muraenolepididae</i>, exceto subprodutos comestÃ­veis de peixes das subposiÃ§Ãµes 0302.91 a 0302.99:",,,,,,
"0302.51.00","-- Bacalhau-do-atlÃ¢ntico (<i>Gadus morhua</i>), bacalhau-da-groelÃ¢ndia (<i>Gadus ogac</i>) e bacalhau-do-pacÃ­fico (<i>Gadus macrocephalus</i>)",,,,,,
"0302.52.00","-- Hadoque (Arinca*) (<i>Melanogrammus aeglefinus</i>)",,,,,,
"0302.53.00","-- Saithe (Escamudo*) (<i>Pollachius virens</i>)",,,,,,
"0302.54.00","-- Merluzas (Pescadas*) e abrÃ³teas (<i>Merluccius</i> spp.<i>, Urophycis</i> spp.)",,,,,,
"0302.55.00","-- Polaca-do-alasca (Escamudo-do-alasca*) (<i>Theragra chalcogramma</i>)",,,,,,
"0302.56.00","-- Verdinhos (<i>Micromesistius poutassou, Micromesistius australis</i>)",,,,,,
"0302.59.00","-- Outros",,,,,,
"0302.7","- TilÃ¡pias (<i>Oreochromis</i> spp.), bagres (peixes-gato*) (<i>Pangasius</i> spp.<i>, Silurus</i> spp.<i>, Clarias</i> spp.<i>, Ictalurus</i> spp.), carpas (<i>Cyprinus</i> spp.<i>, Carassius</i> spp.<i>, Ctenopharyngodon idellus, Hypophthalmichthys</i> spp.<i>, Cirrhinus</i> spp.<i>, Mylopharyngodon piceus, Catla catla, Labeo</i> spp.<i>, Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama</i> spp.), enguias (<i>Anguilla</i> spp.), perca-do-nilo (<i>Lates niloticus</i>) e peixes cabeÃ§a-de-serpente (<i>Channa</i> spp.), exceto subprodutos comestÃ­veis de peixes das subposiÃ§Ãµes 0302.91 a 0302.99:",,,,,,
"0302.71.00","-- TilÃ¡pias (<i>Oreochromis</i> spp.)",,,,,,
"0302.72","-- Bagres (Peixes-gato*) (<i>Pangasius</i> spp.<i>, Silurus</i> spp.<i>, Clarias</i> spp.<i>, Ictalurus</i> spp.)",,,,,,
"0302.72.10","Bagre americano (<i>Ictalurus punctatus</i>)",,,,,,
"0302.72.90","Outros",,,,,,
"0302.73.00","-- Carpas (<i>Cyprinus</i> spp.<i>, Carassius</i> spp.<i>, Ctenopharyngodon idellus, Hypophthalmichthys</i> spp.<i>, Cirrhinus</i> spp.<i>, Mylopharyngodon piceus, Catla catla, Labeo</i> spp.<i>, Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama</i> spp.)",,,,,,
"0302.74.00","-- Enguias (<i>Anguilla</i> spp.)",,,,,,
"0302.79.00","-- Outros",,,,,,
"0302.8","- Outros peixes, exceto subprodutos comestÃ­veis de peixes das subposiÃ§Ãµes 0302.91 a 0302.99:",,,,,,
"0302.81.00","-- CaÃ§Ã£o e outros tubarÃµes",,,,,,
"0302.82.00","-- Raias (<i>Rajidae</i>)",,,,,,
"0302.83","-- Merluza negra e merluza antÃ¡rtica (Marlongas*) (<i>Dissostichus</i> spp.)",,,,,,
"0302.83.10","Merluza negra (<i>Dissostichus eleginoides</i>)",,,,,,
"0302.83.20","Merluza antÃ¡rtica (<i>Dissostichus mawsoni</i>)",,,,,,
"0302.84.00","-- Robalos (<i>Dicentrarchus</i> spp.)",,,,,,
"0302.85.00","-- EsparÃ­deos (<i>Sparidae</i>)",,,,,,
"0302.89","-- Outros",,,,,,
"0302.89.10","Pargo (<i>Lutjanus purpureus</i>)",,,,,,
"0302.89.2","Cherne-poveiro (<i>Polyprion americanus</i>), garoupas (<i>Acanthistius</i> spp.), esturjÃ£o (<i>Acipenser baerii</i>) e peixes-rei (<i>Atherina</i> spp.)",,,,,,
"0302.89.21","Cherne-poveiro (<i>Polyprion americanus</i>)",,,,,,
"0302.89.22","Garoupas (<i>Acanthistius</i> spp.)",,,,,,
"0302.89.23","EsturjÃ£o (<i>Acipenser baerii</i>)",,,,,,
"0302.89.24","Peixes-rei (<i>Atherina</i> spp.)",,,,,,
"0302.89.3","CurimatÃ£s (<i>Prochilodus</i> spp.), tilÃ¡pias (<i>Tilapia</i> spp.<i>, Sarotherodon</i> spp.<i>, Danakilia</i> spp.; seus hÃ­bridos), surubins (<i>Pseudoplatystoma</i> spp.), traÃ­ra (<i>Hoplias malabaricus & H. cf. lacerdae</i>), piaus (<i>Leporinus</i> spp.), tainhas (<i>Mugil</i> spp.), pirarucu (<i>Arapaima gigas</i>) e pescadas (<i>Cynoscion</i> spp.)",,,,,,
"0302.89.31","CurimatÃ£s (<i>Prochilodus</i> spp.)",,,,,,
"0302.89.32","TilÃ¡pias (<i>Tilapia</i> spp.<i>, Sarotherodon</i> spp.<i>, Danakilia</i> spp.; seus hÃ­bridos)",,,,,,
"0302.89.33","Surubins (<i>Pseudoplatystoma</i> spp.)",,,,,,
"0302.89.34","TraÃ­ra (<i>Hoplias malabaricus & H. cf. lacerdae</i>)",,,,,,
"0302.89.35","Piaus (<i>Leporinus</i> spp.)",,,,,,
"0302.89.36","Tainhas (<i>Mugil</i> spp.)",,,,,,
"0302.89.37","Pirarucu (<i>Arapaima gigas</i>)",,,,,,
"0302.89.38","Pescadas (<i>Cynoscion</i> spp.)",,,,,,
"0302.89.4","Piramutaba (<i>Brachyplatystoma vaillantii</i>), dourada (<i>Brachyplatystoma flavicans</i>), pacu (<i>Piaractus mesopotamicus</i>), tambaqui (<i>Colossoma macropomum</i>) e tambacu (hÃ­brido de tambaqui e pacu)",,,,,,
"0302.89.41","Piramutaba (<i>Brachyplatystoma vaillantii</i>)",,,,,,
"0302.89.42","Dourada (<i>Brachyplatystoma flavicans</i>)",,,,,,
"0302.89.43","Pacu (<i>Piaractus mesopotamicus</i>)",,,,,,
"0302.89.44","Tambaqui (<i>Colossoma macropomum</i>)",,,,,,
"0302.89.45","Tambacu (hÃ­brido de tambaqui e pacu)",,,,,,
"0302.89.90","Outros",,,,,,
"0302.9","- FÃ­gados, ovas, gÃ´nadas masculinas, barbatanas, cabeÃ§as, caudas, bexigas-natatÃ³rias e outros subprodutos comestÃ­veis de peixes:",,,,,,
"0302.91","-- FÃ­gados, ovas e gÃ´nadas masculinas",,,,,,
"0302.91.10","Ovas de tainhas (<i>Mugil</i> spp.)",,,,,,
"0302.91.90","Outros",,,,,,
"0302.92.00","-- Barbatanas de tubarÃ£o",,,,,,
"0302.99.00","-- Outros",,,,,,
"03.03","Peixes congelados, exceto os filÃ©s (filetes) de peixes e outra carne de peixes da posiÃ§Ã£o 03.04.",,,,,,
"0303.1","- SalmonÃ­deos, exceto subprodutos comestÃ­veis de peixes das subposiÃ§Ãµes 0303.91 a 0303.99:",,,,,,
"0303.11.00","-- SalmÃ£o-do-pacÃ­fico (salmÃ£o-vermelho) (<i>Oncorhynchus nerka</i>)",,,,,,
"0303.12.00","-- Outros salmÃµes-do-pacÃ­fico (<i>Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou</i> e <i>Oncorhynchus rhodurus</i>)",,,,,,
